"","Participant","SubjAge","SubjEnglish","SubjGender","Condition","List","PSA","Story","Name","Job","Pet","Pronoun","M_Type","M_Response","M_Acc","P_Text","P_Response","P_Acc"
"26","1","53","Native (learned from birth)","male","both","both_1","1","1","Melissa","IT","fish","they/them","pronoun","they/them",1,"they ordered pizza","they/them",1
"27","1","53","Native (learned from birth)","male","both","both_1","1","1","Daniel","retail","cat","he/him","job","Uber driver",0,NA,NA,NA
"28","1","53","Native (learned from birth)","male","both","both_1","1","1","Daniel","retail","cat","he/him","pet","dog",0,NA,NA,NA
"29","1","53","Native (learned from birth)","male","both","both_1","1","1","Daniel","retail","cat","he/him","pronoun","he/him",1,"he got some dinner","he/him",1
"30","1","53","Native (learned from birth)","male","both","both_1","1","1","Stephanie","nurse","cat","they/them","job","IT",0,NA,NA,NA
"31","1","53","Native (learned from birth)","male","both","both_1","1","1","Stephanie","nurse","cat","they/them","pet","dog",0,NA,NA,NA
"32","1","53","Native (learned from birth)","male","both","both_1","1","1","Stephanie","nurse","cat","they/them","pronoun","they/them",1,"they watched a movie","they/them",1
"33","1","53","Native (learned from birth)","male","both","both_1","1","1","Kevin","doctor","dog","they/them","job","Uber driver",0,NA,NA,NA
"34","1","53","Native (learned from birth)","male","both","both_1","1","1","Kevin","doctor","dog","they/them","pet","dog",1,NA,NA,NA
"35","1","53","Native (learned from birth)","male","both","both_1","1","1","Kevin","doctor","dog","they/them","pronoun","he/him",0,"they took a nice bath","they/them",1
"36","1","53","Native (learned from birth)","male","both","both_1","1","1","Amanda","engineer","cat","she/her","pronoun","she/her",1,"they went to dinner","they/them",0
"37","2","58","Native (learned from birth)","male","both","both_1","1","1","Michael","salesperson","fish","they/them","pet","dog",0,NA,NA,NA
"38","2","58","Native (learned from birth)","male","both","both_1","1","1","Michael","salesperson","fish","they/them","pronoun","he/him",0,"He made a drink","he/him",0
"39","2","58","Native (learned from birth)","male","both","both_1","1","1","Jessica","food service","fish","she/her","job","food service",1,NA,NA,NA
"40","2","58","Native (learned from birth)","male","both","both_1","1","1","Jessica","food service","fish","she/her","pet","cat",0,NA,NA,NA
"41","2","58","Native (learned from birth)","male","both","both_1","1","1","Jessica","food service","fish","she/her","pronoun","she/her",1,"he washed his hands","he/him",0
"42","2","58","Native (learned from birth)","male","both","both_1","1","1","Laura","mechanic","cat","she/her","job","mechanic",1,NA,NA,NA
"43","2","58","Native (learned from birth)","male","both","both_1","1","1","Laura","mechanic","cat","she/her","pet","cat",1,NA,NA,NA
"44","2","58","Native (learned from birth)","male","both","both_1","1","1","Laura","mechanic","cat","she/her","pronoun","she/her",1,"She washed up","she/her",1
"45","2","58","Native (learned from birth)","male","both","both_1","1","1","Brian","accountant","fish","he/him","job","accountant",1,NA,NA,NA
"46","2","58","Native (learned from birth)","male","both","both_1","1","1","Brian","accountant","fish","he/him","pet","dog",0,NA,NA,NA
"47","2","58","Native (learned from birth)","male","both","both_1","1","1","Brian","accountant","fish","he/him","pronoun","they/them",0,"he greeted his kids.","he/him",1
"48","2","58","Native (learned from birth)","male","both","both_1","1","1","Amanda","engineer","cat","she/her","job","engineer",1,NA,NA,NA
"49","2","58","Native (learned from birth)","male","both","both_1","1","1","Amanda","engineer","cat","she/her","pet","cat",1,NA,NA,NA
"50","2","58","Native (learned from birth)","male","both","both_1","1","1","Amanda","engineer","cat","she/her","pronoun","she/her",1,"she took a bath","she/her",1
"51","2","58","Native (learned from birth)","male","both","both_1","1","1","Andrew","teacher","dog","he/him","job","janitor",0,NA,NA,NA
"52","2","58","Native (learned from birth)","male","both","both_1","1","1","Andrew","teacher","dog","he/him","pet","dog",1,NA,NA,NA
"53","2","58","Native (learned from birth)","male","both","both_1","1","1","Andrew","teacher","dog","he/him","pronoun","he/him",1,"he graded papers","he/him",1
"54","2","58","Native (learned from birth)","male","both","both_1","1","1","Daniel","retail","cat","he/him","job","doctor",0,NA,NA,NA
"55","2","58","Native (learned from birth)","male","both","both_1","1","1","Daniel","retail","cat","he/him","pet","fish",0,NA,NA,NA
"56","2","58","Native (learned from birth)","male","both","both_1","1","1","Daniel","retail","cat","he/him","pronoun","they/them",0,"he relaxed","he/him",1
"57","2","58","Native (learned from birth)","male","both","both_1","1","1","James","janitor","dog","he/him","job","food service",0,NA,NA,NA
"58","2","58","Native (learned from birth)","male","both","both_1","1","1","James","janitor","dog","he/him","pet","dog",1,NA,NA,NA
"59","2","58","Native (learned from birth)","male","both","both_1","1","1","James","janitor","dog","he/him","pronoun","he/him",1,"he swept his floor in the entry","he/him",1
"60","2","58","Native (learned from birth)","male","both","both_1","1","1","Stephanie","nurse","cat","they/them","job","nurse",1,NA,NA,NA
"61","2","58","Native (learned from birth)","male","both","both_1","1","1","Stephanie","nurse","cat","they/them","pet","cat",1,NA,NA,NA
"62","2","58","Native (learned from birth)","male","both","both_1","1","1","Stephanie","nurse","cat","they/them","pronoun","she/her",0,"she made some coffee","she/her",0
"63","2","58","Native (learned from birth)","male","both","both_1","1","1","Emily","Uber driver","dog","she/her","job","Uber driver",1,NA,NA,NA
"64","2","58","Native (learned from birth)","male","both","both_1","1","1","Emily","Uber driver","dog","she/her","pet","dog",1,NA,NA,NA
"65","2","58","Native (learned from birth)","male","both","both_1","1","1","Emily","Uber driver","dog","she/her","pronoun","she/her",1,"She got off and relaxed in a chair","she/her",1
"66","2","58","Native (learned from birth)","male","both","both_1","1","1","Melissa","IT","fish","they/them","job","IT",1,NA,NA,NA
"67","2","58","Native (learned from birth)","male","both","both_1","1","1","Melissa","IT","fish","they/them","pet","dog",0,NA,NA,NA
"68","2","58","Native (learned from birth)","male","both","both_1","1","1","Melissa","IT","fish","they/them","pronoun","she/her",0,"she made some lasagna","she/her",0
"69","2","58","Native (learned from birth)","male","both","both_1","1","1","Kevin","doctor","dog","they/them","job","retail",0,NA,NA,NA
"70","2","58","Native (learned from birth)","male","both","both_1","1","1","Kevin","doctor","dog","they/them","pet","dog",1,NA,NA,NA
"71","2","58","Native (learned from birth)","male","both","both_1","1","1","Kevin","doctor","dog","they/them","pronoun","he/him",0,"he kissed his wife","he/him",0
"72","2","58","Native (learned from birth)","male","both","both_1","1","1","Michael","salesperson","fish","they/them","job","sales",0,NA,NA,NA
"73","3","28","Native (learned from birth)","male","both","both_1","1","1","Stephanie","nurse","cat","they/them","job","nurse",1,NA,NA,NA
"74","3","28","Native (learned from birth)","male","both","both_1","1","1","Stephanie","nurse","cat","they/them","pet","cat",1,NA,NA,NA
"75","3","28","Native (learned from birth)","male","both","both_1","1","1","Stephanie","nurse","cat","they/them","pronoun","they/them",1,"they called their mother","they/them",1
"76","3","28","Native (learned from birth)","male","both","both_1","1","1","James","janitor","dog","he/him","pet","dog",1,NA,NA,NA
"77","3","28","Native (learned from birth)","male","both","both_1","1","1","James","janitor","dog","he/him","pronoun","he/him",1,"he did a load of laundry","he/him",1
"78","3","28","Native (learned from birth)","male","both","both_1","1","1","Daniel","retail","cat","he/him","job","janitor",0,NA,NA,NA
"79","3","28","Native (learned from birth)","male","both","both_1","1","1","James","janitor","dog","he/him","job","retail",0,NA,NA,NA
"80","3","28","Native (learned from birth)","male","both","both_1","1","1","Daniel","retail","cat","he/him","pronoun","he/him",1,"he cried himself to sleep","he/him",1
"81","3","28","Native (learned from birth)","male","both","both_1","1","1","Melissa","IT","fish","they/them","job","IT",1,NA,NA,NA
"82","3","28","Native (learned from birth)","male","both","both_1","1","1","Melissa","IT","fish","they/them","pet","fish",1,NA,NA,NA
"83","3","28","Native (learned from birth)","male","both","both_1","1","1","Melissa","IT","fish","they/them","pronoun","they/them",1,"she watered her plants","she/her",0
"84","3","28","Native (learned from birth)","male","both","both_1","1","1","Andrew","teacher","dog","he/him","job","teacher",1,NA,NA,NA
"85","3","28","Native (learned from birth)","male","both","both_1","1","1","Andrew","teacher","dog","he/him","pet","dog",1,NA,NA,NA
"86","3","28","Native (learned from birth)","male","both","both_1","1","1","Andrew","teacher","dog","he/him","pronoun","he/him",1,"he fed his dog","he/him",1
"87","3","28","Native (learned from birth)","male","both","both_1","1","1","Brian","accountant","fish","he/him","job","food service",0,NA,NA,NA
"88","3","28","Native (learned from birth)","male","both","both_1","1","1","Brian","accountant","fish","he/him","pet","fish",1,NA,NA,NA
"89","3","28","Native (learned from birth)","male","both","both_1","1","1","Brian","accountant","fish","he/him","pronoun","he/him",1,"he ordered a pizza","he/him",1
"90","3","28","Native (learned from birth)","male","both","both_1","1","1","Michael","salesperson","fish","they/them","job","Uber driver",0,NA,NA,NA
"91","3","28","Native (learned from birth)","male","both","both_1","1","1","Michael","salesperson","fish","they/them","pet","fish",1,NA,NA,NA
"92","3","28","Native (learned from birth)","male","both","both_1","1","1","Daniel","retail","cat","he/him","pet","dog",0,NA,NA,NA
"93","3","28","Native (learned from birth)","male","both","both_1","1","1","Jessica","food service","fish","she/her","job","Uber driver",0,NA,NA,NA
"94","3","28","Native (learned from birth)","male","both","both_1","1","1","Jessica","food service","fish","she/her","pet","cat",0,NA,NA,NA
"95","3","28","Native (learned from birth)","male","both","both_1","1","1","Jessica","food service","fish","she/her","pronoun","she/her",1,"she took a bath","she/her",1
"96","3","28","Native (learned from birth)","male","both","both_1","1","1","Emily","Uber driver","dog","she/her","job","retail",0,NA,NA,NA
"97","3","28","Native (learned from birth)","male","both","both_1","1","1","Emily","Uber driver","dog","she/her","pet","cat",0,NA,NA,NA
"98","3","28","Native (learned from birth)","male","both","both_1","1","1","Emily","Uber driver","dog","she/her","pronoun","she/her",1,"she took a nap","she/her",1
"99","3","28","Native (learned from birth)","male","both","both_1","1","1","Amanda","engineer","cat","she/her","job","engineer",1,NA,NA,NA
"100","3","28","Native (learned from birth)","male","both","both_1","1","1","Amanda","engineer","cat","she/her","pet","cat",1,NA,NA,NA
"101","3","28","Native (learned from birth)","male","both","both_1","1","1","Amanda","engineer","cat","she/her","pronoun","she/her",1,"she gave her baby a bath","she/her",1
"102","3","28","Native (learned from birth)","male","both","both_1","1","1","Laura","mechanic","cat","she/her","job","mechanic",1,NA,NA,NA
"103","3","28","Native (learned from birth)","male","both","both_1","1","1","Laura","mechanic","cat","she/her","pet","dog",0,NA,NA,NA
"104","3","28","Native (learned from birth)","male","both","both_1","1","1","Laura","mechanic","cat","she/her","pronoun","she/her",1,"she washed her hands","she/her",1
"105","3","28","Native (learned from birth)","male","both","both_1","1","1","Michael","salesperson","fish","they/them","pronoun","he/him",0,"he hugged his children","he/him",0
"106","3","28","Native (learned from birth)","male","both","both_1","1","1","Kevin","doctor","dog","they/them","pet","cat",0,NA,NA,NA
"107","3","28","Native (learned from birth)","male","both","both_1","1","1","Kevin","doctor","dog","they/them","pronoun","they/them",1,"they took the trash out","they/them",1
"108","3","28","Native (learned from birth)","male","both","both_1","1","1","Kevin","doctor","dog","they/them","job","doctor",1,NA,NA,NA
"109","4","36","Native (learned from birth)","male","neither","neither_1","0","0","Jessica","food service","fish","she/her","pet","dog",0,NA,NA,NA
"110","4","36","Native (learned from birth)","male","neither","neither_1","0","0","Jessica","food service","fish","she/her","pronoun","they/them",0,"she ate leftovers. ","she/her",1
"111","4","36","Native (learned from birth)","male","neither","neither_1","0","0","Amanda","engineer","cat","she/her","job","janitor",0,NA,NA,NA
"112","4","36","Native (learned from birth)","male","neither","neither_1","0","0","Jessica","food service","fish","she/her","job","IT",0,NA,NA,NA
"113","4","36","Native (learned from birth)","male","neither","neither_1","0","0","Amanda","engineer","cat","she/her","pronoun","she/her",1,"she read a book. ","she/her",1
"114","4","36","Native (learned from birth)","male","neither","neither_1","0","0","Andrew","teacher","dog","he/him","job","doctor",0,NA,NA,NA
"115","4","36","Native (learned from birth)","male","neither","neither_1","0","0","Andrew","teacher","dog","he/him","pet","dog",1,NA,NA,NA
"116","4","36","Native (learned from birth)","male","neither","neither_1","0","0","Amanda","engineer","cat","she/her","pet","cat",1,NA,NA,NA
"117","4","36","Native (learned from birth)","male","neither","neither_1","0","0","Melissa","IT","fish","they/them","job","doctor",0,NA,NA,NA
"118","4","36","Native (learned from birth)","male","neither","neither_1","0","0","Melissa","IT","fish","they/them","pet","cat",0,NA,NA,NA
"119","4","36","Native (learned from birth)","male","neither","neither_1","0","0","Melissa","IT","fish","they/them","pronoun","they/them",1,"she prepared dinner. ","she/her",0
"120","4","36","Native (learned from birth)","male","neither","neither_1","0","0","Andrew","teacher","dog","he/him","pronoun","they/them",0,"he graded papers. ","he/him",1
"121","4","36","Native (learned from birth)","male","neither","neither_1","0","0","Stephanie","nurse","cat","they/them","pet","dog",0,NA,NA,NA
"122","4","36","Native (learned from birth)","male","neither","neither_1","0","0","Stephanie","nurse","cat","they/them","pronoun","she/her",0,"she took a shower. ","she/her",0
"123","4","36","Native (learned from birth)","male","neither","neither_1","0","0","Emily","Uber driver","dog","she/her","job","retail",0,NA,NA,NA
"124","4","36","Native (learned from birth)","male","neither","neither_1","0","0","Emily","Uber driver","dog","she/her","pet","dog",1,NA,NA,NA
"125","4","36","Native (learned from birth)","male","neither","neither_1","0","0","Emily","Uber driver","dog","she/her","pronoun","she/her",1,"she went to bed.","she/her",1
"126","4","36","Native (learned from birth)","male","neither","neither_1","0","0","Daniel","retail","cat","he/him","job","engineer",0,NA,NA,NA
"127","4","36","Native (learned from birth)","male","neither","neither_1","0","0","Daniel","retail","cat","he/him","pet","fish",0,NA,NA,NA
"128","4","36","Native (learned from birth)","male","neither","neither_1","0","0","Daniel","retail","cat","he/him","pronoun","he/him",1,"he called some friends. ","he/him",1
"129","4","36","Native (learned from birth)","male","neither","neither_1","0","0","Michael","salesperson","fish","they/them","job","engineer",0,NA,NA,NA
"130","4","36","Native (learned from birth)","male","neither","neither_1","0","0","Michael","salesperson","fish","they/them","pet","cat",0,NA,NA,NA
"131","4","36","Native (learned from birth)","male","neither","neither_1","0","0","Michael","salesperson","fish","they/them","pronoun","they/them",1,"he went out to dinner. ","he/him",0
"132","4","36","Native (learned from birth)","male","neither","neither_1","0","0","Laura","mechanic","cat","she/her","job","accountant",0,NA,NA,NA
"133","4","36","Native (learned from birth)","male","neither","neither_1","0","0","Stephanie","nurse","cat","they/them","job","nurse",1,NA,NA,NA
"134","4","36","Native (learned from birth)","male","neither","neither_1","0","0","Laura","mechanic","cat","she/her","pronoun","she/her",1,"she washed her hands.","she/her",1
"135","4","36","Native (learned from birth)","male","neither","neither_1","0","0","James","janitor","dog","he/him","job","food service",0,NA,NA,NA
"136","4","36","Native (learned from birth)","male","neither","neither_1","0","0","James","janitor","dog","he/him","pet","dog",1,NA,NA,NA
"137","4","36","Native (learned from birth)","male","neither","neither_1","0","0","James","janitor","dog","he/him","pronoun","he/him",1,"he watched tv. ","he/him",1
"138","4","36","Native (learned from birth)","male","neither","neither_1","0","0","Kevin","doctor","dog","they/them","job","engineer",0,NA,NA,NA
"139","4","36","Native (learned from birth)","male","neither","neither_1","0","0","Kevin","doctor","dog","they/them","pet","cat",0,NA,NA,NA
"140","4","36","Native (learned from birth)","male","neither","neither_1","0","0","Kevin","doctor","dog","they/them","pronoun","he/him",0,"he played with his kids. ","he/him",0
"141","4","36","Native (learned from birth)","male","neither","neither_1","0","0","Brian","accountant","fish","he/him","job","sales",0,NA,NA,NA
"142","4","36","Native (learned from birth)","male","neither","neither_1","0","0","Brian","accountant","fish","he/him","pet","fish",1,NA,NA,NA
"143","4","36","Native (learned from birth)","male","neither","neither_1","0","0","Brian","accountant","fish","he/him","pronoun","he/him",1,"he went to work out. ","he/him",1
"144","4","36","Native (learned from birth)","male","neither","neither_1","0","0","Laura","mechanic","cat","she/her","pet","dog",0,NA,NA,NA
"145","5","34","Native (learned from birth)","male","neither","neither_3","0","0","Melissa","retail","dog","she/her","job","retail",1,NA,NA,NA
"146","5","34","Native (learned from birth)","male","neither","neither_3","0","0","Melissa","retail","dog","she/her","pronoun","they/them",0,"She spent time with her cat.","she/her",1
"147","5","34","Native (learned from birth)","male","neither","neither_3","0","0","Laura","accountant","cat","she/her","job","Uber driver",0,NA,NA,NA
"148","5","34","Native (learned from birth)","male","neither","neither_3","0","0","Laura","accountant","cat","she/her","pet","cat",1,NA,NA,NA
"149","5","34","Native (learned from birth)","male","neither","neither_3","0","0","Melissa","retail","dog","she/her","pet","dog",1,NA,NA,NA
"150","5","34","Native (learned from birth)","male","neither","neither_3","0","0","Brian","mechanic","dog","they/them","job","janitor",0,NA,NA,NA
"151","5","34","Native (learned from birth)","male","neither","neither_3","0","0","Brian","mechanic","dog","they/them","pet","dog",1,NA,NA,NA
"152","5","34","Native (learned from birth)","male","neither","neither_3","0","0","Brian","mechanic","dog","they/them","pronoun","they/them",1,"he made dinner and fed his dog.","he/him",0
"153","5","34","Native (learned from birth)","male","neither","neither_3","0","0","Michael","salesperson","cat","he/him","job","mechanic",0,NA,NA,NA
"154","5","34","Native (learned from birth)","male","neither","neither_3","0","0","Michael","salesperson","cat","he/him","pet","fish",0,NA,NA,NA
"155","5","34","Native (learned from birth)","male","neither","neither_3","0","0","Michael","salesperson","cat","he/him","pronoun","they/them",0,"They took a long shower.","they/them",0
"156","5","34","Native (learned from birth)","male","neither","neither_3","0","0","Emily","Uber driver","fish","they/them","job","teacher",0,NA,NA,NA
"157","5","34","Native (learned from birth)","male","neither","neither_3","0","0","Emily","Uber driver","fish","they/them","pet","dog",0,NA,NA,NA
"158","5","34","Native (learned from birth)","male","neither","neither_3","0","0","Emily","Uber driver","fish","they/them","pronoun","she/her",0,"They brought their car in for maintenance.","they/them",1
"159","5","34","Native (learned from birth)","male","neither","neither_3","0","0","Stephanie","janitor","fish","she/her","job","nurse",0,NA,NA,NA
"160","5","34","Native (learned from birth)","male","neither","neither_3","0","0","Stephanie","janitor","fish","she/her","pet","cat",0,NA,NA,NA
"161","5","34","Native (learned from birth)","male","neither","neither_3","0","0","Stephanie","janitor","fish","she/her","pronoun","she/her",1,"She took a bath and fed her fish.","she/her",1
"162","5","34","Native (learned from birth)","male","neither","neither_3","0","0","Laura","accountant","cat","she/her","pronoun","she/her",1,"She read a book and played with her cat.","she/her",1
"163","5","34","Native (learned from birth)","male","neither","neither_3","0","0","Daniel","IT","cat","he/him","pet","dog",0,NA,NA,NA
"164","5","34","Native (learned from birth)","male","neither","neither_3","0","0","Daniel","IT","cat","he/him","pronoun","he/him",1,"He studied for his exam.","he/him",1
"165","5","34","Native (learned from birth)","male","neither","neither_3","0","0","Amanda","engineer","dog","they/them","job","food service",0,NA,NA,NA
"166","5","34","Native (learned from birth)","male","neither","neither_3","0","0","Amanda","engineer","dog","they/them","pet","cat",0,NA,NA,NA
"167","5","34","Native (learned from birth)","male","neither","neither_3","0","0","Amanda","engineer","dog","they/them","pronoun","she/her",0,"They went to a concert.","they/them",1
"168","5","34","Native (learned from birth)","male","neither","neither_3","0","0","James","nurse","dog","he/him","job","nurse",1,NA,NA,NA
"169","5","34","Native (learned from birth)","male","neither","neither_3","0","0","James","nurse","dog","he/him","pet","dog",1,NA,NA,NA
"170","5","34","Native (learned from birth)","male","neither","neither_3","0","0","James","nurse","dog","he/him","pronoun","he/him",1,"he went to sleep.","he/him",1
"171","5","34","Native (learned from birth)","male","neither","neither_3","0","0","Jessica","teacher","fish","she/her","job","teacher",1,NA,NA,NA
"172","5","34","Native (learned from birth)","male","neither","neither_3","0","0","Jessica","teacher","fish","she/her","pet","fish",1,NA,NA,NA
"173","5","34","Native (learned from birth)","male","neither","neither_3","0","0","Jessica","teacher","fish","she/her","pronoun","they/them",0,"She prepared for the next school day.","she/her",1
"174","5","34","Native (learned from birth)","male","neither","neither_3","0","0","Andrew","food service","cat","they/them","job","engineer",0,NA,NA,NA
"175","5","34","Native (learned from birth)","male","neither","neither_3","0","0","Andrew","food service","cat","they/them","pet","dog",0,NA,NA,NA
"176","5","34","Native (learned from birth)","male","neither","neither_3","0","0","Andrew","food service","cat","they/them","pronoun","he/him",0,"He played video games.","he/him",0
"177","5","34","Native (learned from birth)","male","neither","neither_3","0","0","Kevin","doctor","fish","he/him","job","IT",0,NA,NA,NA
"178","5","34","Native (learned from birth)","male","neither","neither_3","0","0","Kevin","doctor","fish","he/him","pet","cat",0,NA,NA,NA
"179","5","34","Native (learned from birth)","male","neither","neither_3","0","0","Kevin","doctor","fish","he/him","pronoun","they/them",0,"They walked their dog.","they/them",0
"180","5","34","Native (learned from birth)","male","neither","neither_3","0","0","Daniel","IT","cat","he/him","job","IT",1,NA,NA,NA
"181","6","30","Native (learned from birth)","female","psa","psa_1","1","0","Daniel","retail","cat","he/him","job","sales",0,NA,NA,NA
"182","6","30","Native (learned from birth)","female","psa","psa_1","1","0","Daniel","retail","cat","he/him","pet","cat",1,NA,NA,NA
"183","6","30","Native (learned from birth)","female","psa","psa_1","1","0","Amanda","engineer","cat","she/her","job","mechanic",0,NA,NA,NA
"184","6","30","Native (learned from birth)","female","psa","psa_1","1","0","Amanda","engineer","cat","she/her","pet","dog",0,NA,NA,NA
"185","6","30","Native (learned from birth)","female","psa","psa_1","1","0","Amanda","engineer","cat","she/her","pronoun","she/her",1,"she made dinner for the family.","she/her",1
"186","6","30","Native (learned from birth)","female","psa","psa_1","1","0","Daniel","retail","cat","he/him","pronoun","he/him",1,"he listened some music.","he/him",1
"187","6","30","Native (learned from birth)","female","psa","psa_1","1","0","Stephanie","nurse","cat","they/them","pet","cat",1,NA,NA,NA
"188","6","30","Native (learned from birth)","female","psa","psa_1","1","0","Stephanie","nurse","cat","they/them","pronoun","she/her",0,"she had a bath.","she/her",0
"189","6","30","Native (learned from birth)","female","psa","psa_1","1","0","Andrew","teacher","dog","he/him","job","Uber driver",0,NA,NA,NA
"190","6","30","Native (learned from birth)","female","psa","psa_1","1","0","Stephanie","nurse","cat","they/them","job","IT",0,NA,NA,NA
"191","6","30","Native (learned from birth)","female","psa","psa_1","1","0","Andrew","teacher","dog","he/him","pronoun","he/him",1,"he took classes for his neighboring children.","he/him",1
"192","6","30","Native (learned from birth)","female","psa","psa_1","1","0","Jessica","food service","fish","she/her","job","nurse",0,NA,NA,NA
"193","6","30","Native (learned from birth)","female","psa","psa_1","1","0","Jessica","food service","fish","she/her","pet","cat",0,NA,NA,NA
"194","6","30","Native (learned from birth)","female","psa","psa_1","1","0","Jessica","food service","fish","she/her","pronoun","she/her",1,"she took her medication.","she/her",1
"195","6","30","Native (learned from birth)","female","psa","psa_1","1","0","Michael","salesperson","fish","they/them","job","food service",0,NA,NA,NA
"196","6","30","Native (learned from birth)","female","psa","psa_1","1","0","Michael","salesperson","fish","they/them","pet","dog",0,NA,NA,NA
"197","6","30","Native (learned from birth)","female","psa","psa_1","1","0","Michael","salesperson","fish","they/them","pronoun","he/him",0,"he did his usual exercise.","he/him",0
"198","6","30","Native (learned from birth)","female","psa","psa_1","1","0","Emily","Uber driver","dog","she/her","job","janitor",0,NA,NA,NA
"199","6","30","Native (learned from birth)","female","psa","psa_1","1","0","Emily","Uber driver","dog","she/her","pet","dog",1,NA,NA,NA
"200","6","30","Native (learned from birth)","female","psa","psa_1","1","0","Emily","Uber driver","dog","she/her","pronoun","she/her",1,"she watched a movie.","she/her",1
"201","6","30","Native (learned from birth)","female","psa","psa_1","1","0","Kevin","doctor","dog","they/them","job","retail",0,NA,NA,NA
"202","6","30","Native (learned from birth)","female","psa","psa_1","1","0","Kevin","doctor","dog","they/them","pet","cat",0,NA,NA,NA
"203","6","30","Native (learned from birth)","female","psa","psa_1","1","0","Kevin","doctor","dog","they/them","pronoun","he/him",0,"he cleaned his room.","he/him",0
"204","6","30","Native (learned from birth)","female","psa","psa_1","1","0","James","janitor","dog","he/him","job","doctor",0,NA,NA,NA
"205","6","30","Native (learned from birth)","female","psa","psa_1","1","0","James","janitor","dog","he/him","pet","cat",0,NA,NA,NA
"206","6","30","Native (learned from birth)","female","psa","psa_1","1","0","James","janitor","dog","he/him","pronoun","he/him",1,"he went to buy some groceries. ","he/him",1
"207","6","30","Native (learned from birth)","female","psa","psa_1","1","0","Melissa","IT","fish","they/them","job","accountant",0,NA,NA,NA
"208","6","30","Native (learned from birth)","female","psa","psa_1","1","0","Melissa","IT","fish","they/them","pet","fish",1,NA,NA,NA
"209","6","30","Native (learned from birth)","female","psa","psa_1","1","0","Melissa","IT","fish","they/them","pronoun","she/her",0,"she invited her friends for a party.","she/her",0
"210","6","30","Native (learned from birth)","female","psa","psa_1","1","0","Brian","accountant","fish","he/him","job","teacher",0,NA,NA,NA
